word=zoiberg; end_id=3805455_2887; time_start=1375470522; count=1000; groups_num=176; users_num=0; items_num=849
word=путин; end_id=-43499899_9621; time_start=1375470541; count=1000; groups_num=135; users_num=0; items_num=917
word=#франция; end_id=-42005845_2270; time_start=1375470560; count=1000; groups_num=313; users_num=0; items_num=877
word=медведев; end_id=14716043_174; time_start=1375470583; count=1000; groups_num=258; users_num=0; items_num=933
word=франция; end_id=-13355778_2722; time_start=1375470611; count=1000; groups_num=366; users_num=0; items_num=945
word=zoiberg; end_id=209926096_474; time_start=1375470642; count=1000; groups_num=184; users_num=0; items_num=868
word=путин; end_id=3941302_14605; time_start=1375470660; count=1000; groups_num=133; users_num=0; items_num=915
word=#франция; end_id=-53036228_319; time_start=1375470678; count=1000; groups_num=312; users_num=0; items_num=875
word=медведев; end_id=-55668761_16; time_start=1375470702; count=1000; groups_num=246; users_num=0; items_num=941
word=франция; end_id=-8850025_2708; time_start=1375470724; count=1000; groups_num=381; users_num=0; items_num=950
word=zoiberg; end_id=-43428928_11361; time_start=1375470760; count=1000; groups_num=182; users_num=0; items_num=866
word=путин; end_id=-25612449_836282; time_start=1375470779; count=1000; groups_num=136; users_num=0; items_num=926
word=#франция; end_id=-53036228_319; time_start=1375470797; count=1000; groups_num=312; users_num=0; items_num=877
word=медведев; end_id=112816203_3889; time_start=1375470822; count=1000; groups_num=246; users_num=0; items_num=941
word=франция; end_id=-40869533_15620; time_start=1375470843; count=1000; groups_num=367; users_num=0; items_num=945
word=zoiberg; end_id=152633917_586; time_start=1375470879; count=1000; groups_num=176; users_num=0; items_num=859
word=путин; end_id=-46461134_98010; time_start=1375470896; count=1000; groups_num=131; users_num=0; items_num=923
word=#франция; end_id=-53036228_319; time_start=1375470914; count=1000; groups_num=312; users_num=0; items_num=877
word=медведев; end_id=-17568841_1032531; time_start=1375470936; count=1000; groups_num=248; users_num=0; items_num=938
word=франция; end_id=-46303300_3705; time_start=1375470964; count=1000; groups_num=368; users_num=0; items_num=940
word=zoiberg; end_id=146135229_403; time_start=1375470994; count=1000; groups_num=174; users_num=0; items_num=835
word=путин; end_id=197652473_2934; time_start=1375471012; count=1000; groups_num=128; users_num=0; items_num=909
word=#франция; end_id=-53036228_319; time_start=1375471031; count=1000; groups_num=312; users_num=0; items_num=877
word=медведев; end_id=192905601_2086; time_start=1375471055; count=1000; groups_num=243; users_num=0; items_num=938
word=франция; end_id=-27549482_1969; time_start=1375471084; count=1000; groups_num=369; users_num=0; items_num=940
word=zoiberg; end_id=147222533_7024; time_start=1375471114; count=1000; groups_num=173; users_num=0; items_num=834
word=путин; end_id=-52216795_45; time_start=1375471138; count=1000; groups_num=129; users_num=0; items_num=924
word=#франция; end_id=-22299120_8880; time_start=1375471157; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-40331504_2032; time_start=1375471180; count=1000; groups_num=244; users_num=0; items_num=940
word=франция; end_id=-5473919_61430; time_start=1375471204; count=1000; groups_num=364; users_num=0; items_num=940
word=zoiberg; end_id=215080471_318; time_start=1375471235; count=1000; groups_num=174; users_num=0; items_num=851
word=путин; end_id=-40316705_251009; time_start=1375471254; count=1000; groups_num=128; users_num=0; items_num=924
word=#франция; end_id=-22299120_8880; time_start=1375471272; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=5189209_4659; time_start=1375471295; count=1000; groups_num=243; users_num=0; items_num=940
word=франция; end_id=14599446_3283; time_start=1375471318; count=1000; groups_num=363; users_num=0; items_num=939
word=zoiberg; end_id=152417541_1554; time_start=1375471348; count=1000; groups_num=166; users_num=0; items_num=814
word=путин; end_id=194853639_431; time_start=1375471453; count=1000; groups_num=131; users_num=0; items_num=920
word=#франция; end_id=-22299120_8880; time_start=1375471471; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=1540905_825; time_start=1375471492; count=1000; groups_num=243; users_num=0; items_num=941
word=франция; end_id=5560717_11276; time_start=1375471514; count=1000; groups_num=357; users_num=0; items_num=939
word=zoiberg; end_id=-56629906_59; time_start=1375471544; count=1000; groups_num=177; users_num=0; items_num=853
word=путин; end_id=-54478032_216; time_start=1375471564; count=1000; groups_num=133; users_num=0; items_num=922
word=#франция; end_id=-22299120_8880; time_start=1375471582; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=144773817_2277; time_start=1375471604; count=1000; groups_num=240; users_num=0; items_num=941
word=франция; end_id=217147739_7; time_start=1375471626; count=1000; groups_num=359; users_num=0; items_num=940
word=zoiberg; end_id=-49092934_2148; time_start=1375471656; count=1000; groups_num=177; users_num=0; items_num=856
word=путин; end_id=-52117436_451; time_start=1375471675; count=1000; groups_num=130; users_num=0; items_num=923
word=#франция; end_id=-22299120_8880; time_start=1375471695; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=144773817_2277; time_start=1375471717; count=1000; groups_num=240; users_num=0; items_num=941
word=франция; end_id=-56452005_1180; time_start=1375471739; count=1000; groups_num=359; users_num=0; items_num=940
word=zoiberg; end_id=148418158_1454; time_start=1375471769; count=1000; groups_num=178; users_num=0; items_num=863
word=путин; end_id=49423607_2391; time_start=1375471788; count=1000; groups_num=128; users_num=0; items_num=923
word=#франция; end_id=-22299120_8880; time_start=1375471807; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-42017294_484; time_start=1375471830; count=1000; groups_num=240; users_num=0; items_num=942
word=франция; end_id=41525965_4316; time_start=1375471851; count=1000; groups_num=360; users_num=0; items_num=941
word=zoiberg; end_id=-43503753_9252; time_start=1375471883; count=1000; groups_num=174; users_num=0; items_num=866
word=путин; end_id=-47332284_645; time_start=1375471902; count=1000; groups_num=130; users_num=0; items_num=923
word=#франция; end_id=-22299120_8880; time_start=1375471921; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=7573708_2927; time_start=1375471943; count=1000; groups_num=236; users_num=0; items_num=942
